Pagsabangan,7.4686205,125.7662248
Hengshui,37.73892,115.670177
Na Di,14.2030447,101.7751709
São Paio de Gramaços,40.3519909,-7.8410273
Nora,59.5043187,15.0421807
Shu,43.6051078,73.7631135
Dolna Banya,42.3106792,23.7647948
Maoping,30.823054,110.973252
Zaprudnya,56.5637319,37.4286044
Guazapa,13.8781715,-89.1610748
Del Campillo,-34.5906948,-58.4794982
Mojoagung,-7.620317,112.3695412
Misasi,-3.012309,33.0873408
Velyki Mezhyrichi,50.6548909,26.8652271
Kovářov,49.6489809,17.6517329
Tit Mellil,33.5507563,-7.4841222
Míthymna,39.367146,26.1751462
Serere,1.4994033,33.5490078
Sano,36.7319657,138.4136271
Tor,28.2410098,33.6229813
Timur,-9.8627946,124.3310364
Ülken,45.2068153,73.9309807
Pakokku,21.3394161,95.0702794
Fundong,6.2820276,10.2852532
Saint Pierre,-20.2180558,57.5334616
Idenao,4.2100095,8.9901033
Haiyang,36.776378,121.158434
Alca,-15.14503,-72.769402
Dongzhou,41.853191,124.038685
Zhangjiayuan,28.532422,118.592707
Hengshui,37.73892,115.670177
Kupino,54.3413515,77.3007627
Qal‘eh Ganj,27.5277132,57.8651371
Pacasmayo,-7.4040051,-79.565078
Porlamar,10.9570221,-63.8699655
Dabai,11.366667,7.633333
Huangshi,30.20003,115.038835
Xinjie,32.0378049,118.7870855
Lyubotyn,49.9511113,35.9407539
Klobuky,50.2940131,13.9874928
Longxi,35.00394,104.634983
Luhe,23.301616,115.660142
Cabuyaro,4.2443418,-72.9460566
Itaqui,-29.1294007,-56.5481122
Astara,38.4687834,48.8728029
Bratslav,48.8162706,28.9461989
Barra Bonita,-22.472994,-48.5637543
Emin,46.524673,83.628303
Tinumpuk,-6.4153234,108.3890321
Zhuangta,29.625298,110.912619
Shuvakish,56.9191069,60.4807823
Ustupo,9.1324305,-77.9267437
La Laja,-33.6167,-70.5667
Cigadog,-7.3055997,108.0940566
Kristiansand S,58.0618351,7.584995
Vodyane,47.1479108,37.7844618
Baz,41.6315023,19.9310781
Wodzierady,51.718833,19.1490758
Lembongan Kawan,-8.6785828,115.4555858
Ouijjane,29.6242257,-9.5395357
Osnabrück,52.2415583,8.0495294
Semenivka,52.1814619,32.583994
Hvar,43.1729478,16.4411136
Libuganon,7.3488,125.7782
Caxito,-8.5821947,13.6565321
Jiayuguan,39.772554,98.289419
Dopang,-8.5157998,116.1315116
Neochórion,38.7,21.466667
Wudil,11.7942415,8.8390321
Monastir,35.7642515,10.8112885
Lagangilang,17.460265,120.6085163
Anniston,33.708276,-85.7922905
Khōshāmand,32.68567,68.23801
Fonte,41.308715,-8.1332997
Santa Cruz De Tenerife,28.4391484,-16.2845785
Ivanava,52.145887,25.5329454
Dokshytsy,54.8953858,27.7599272
Sulaco,14.913868,-87.26432
Al Bīrah,31.91001,35.21645
Jiulong,29.000347,101.507294
Yushu,32.993106,97.008784
Airmata,-10.1670956,123.5787505
Amaury,-20.1364103,57.6679912
Watulimo,-8.2702492,111.7018452
Chubek,37.6254329,69.636351
Flushing,40.7493096,-73.8213213
Terjan,-6.6939179,111.5617354
Caringin,-6.7387737,106.8768415
Carandaí,-20.9508706,-43.8028073
Rožna Dolina,45.89485,13.7233116
Millet,53.09697,-113.4729375
Huanchaco,-8.0884404,-79.0872788
Atins,-2.5695714,-42.7399195
Sasebo,33.2487196,129.736915
Temayang,-7.3328576,111.9075351
Shicheng,29.5530941,118.9353968
Borucin,50.0144436,18.2125197
Seria,4.6101062,114.3311718
Krajan Timur Mlokorejo,-8.3081,113.4586
Cilated,-7.3312,107.9703
